x(m),p2(Pa),dp(Pa),total(Pa)
0.0,100.0,5.000000000000001,105.0
0.1,100.0,5.000000000000001,105.0
0.2,100.0,5.000000000000001,105.0
0.30000000000000004,100.0,5.000000000000001,105.0
0.4,100.0,5.000000000000001,105.0
0.5,100.0,5.000000000000001,105.0
0.6,100.0,5.000000000000001,105.0
0.7,100.0,5.000000000000001,105.0
0.7999999999999999,100.0,5.000000000000001,105.0
0.8999999999999999,100.0,5.000000000000001,105.0
0.9999999999999999,100.0,5.000000000000001,105.0
1.0999999999999999,100.0,5.000000000000001,105.0
1.2,100.0,5.000000000000001,105.0
1.3,100.0,5.000000000000001,105.0
1.4000000000000001,100.0,5.000000000000001,105.0
1.5000000000000002,100.0,5.000000000000001,105.0
1.6000000000000003,100.0,5.000000000000001,105.0
1.7000000000000004,100.0,5.000000000000001,105.0
1.8000000000000005,100.0,5.000000000000001,105.0
1.9000000000000006,100.0,5.000000000000001,105.0
2.0000000000000004,100.0,5.000000000000001,105.0
2.1000000000000005,100.0,5.000000000000001,105.0
2.2000000000000006,100.0,5.000000000000001,105.0
2.3000000000000007,100.0,5.000000000000001,105.0
2.400000000000001,100.0,5.000000000000001,105.0
2.500000000000001,24.999999999999986,80.00000000000001,105.0
2.600000000000001,28.121572441374767,76.87842755862523,105.0
2.700000000000001,31.09236591787885,73.90763408212115,105.0
2.800000000000001,33.92103616674487,71.07896383325513,105.0
2.9000000000000012,36.615664717621925,68.38433528237807,105.0
3.0000000000000013,39.18380201664951,65.81619798335049,105.0
3.1000000000000014,41.63250694095836,63.36749305904164,105.0
3.2000000000000015,43.96838303619797,61.03161696380203,105.0
3.3000000000000016,46.19761177628374,58.80238822371626,105.0
3.4000000000000017,48.325983114784314,56.674016885215686,105.0
3.5000000000000018,50.35892357079436,54.64107642920564,105.0
3.600000000000002,52.30152206839998,52.69847793160002,105.0
3.700000000000002,54.1585537276135,50.8414462723865,105.0
3.800000000000002,55.934501785649935,49.065498214350065,105.0
3.900000000000002,57.633577810384836,47.366422189615164,105.0
4.000000000000002,59.25974035255736,45.74025964744264,105.0
4.100000000000001,60.81671216956206,44.18328783043794,105.0
4.200000000000001,62.307996141347246,42.692003858652754,105.0
4.300000000000001,63.736889987844734,41.263110012155266,105.0
4.4,65.10649988736817,39.89350011263183,105.0
4.5,66.41975308641975,38.580246913580254,105.0
4.6,67.67940958322131,37.32059041677868,105.0
4.699999999999999,68.88807295995957,36.11192704004043,105.0
4.799999999999999,70.04820043210822,34.95179956789178,105.0
4.899999999999999,71.16211217720007,33.837887822799935,105.0
4.999999999999998,72.23199999999997,32.768000000000036,105.0
5.099999999999998,73.25993538611564,31.740064613884364,105.0
5.1999999999999975,74.24787699163093,30.75212300836907,105.0
5.299999999999997,75.19767761230466,29.802322387695334,105.0
5.399999999999997,76.11109067220772,28.888909327792277,105.0
5.4999999999999964,76.9897762683379,28.010223731662094,105.0
5.599999999999996,77.83530680471725,27.164693195282755,105.0
5.699999999999996,78.6491722467179,26.3508277532821,105.0
5.799999999999995,79.43278502384784,25.56721497615216,105.0
5.899999999999995,80.18748460693573,24.81251539306428,105.0
5.999999999999995,80.91454178356577,24.085458216434233,105.0
6.099999999999994,81.61516265370382,23.384837346296184,105.0
6.199999999999994,82.29049236571495,22.709507634285046,105.0
6.299999999999994,82.94161861137987,22.058381388620138,105.0
6.399999999999993,83.56957489706005,21.430425102939953,105.0
6.499999999999993,84.17534360683044,20.82465639316956,105.0
6.5999999999999925,84.75985887217512,20.24014112782488,105.0
6.699999999999992,85.32400926172491,19.675990738275097,105.0
6.799999999999992,85.86864030348875,19.131359696511247,105.0
6.8999999999999915,86.39455685108973,18.605443148910275,105.0
6.999999999999991,86.90252530465256,18.097474695347437,105.0
7.099999999999991,87.39327569619536,17.60672430380464,105.0
7.19999999999999,87.8675036486488,17.1324963513512,105.0
7.29999999999999,88.32587221695465,16.674127783045357,105.0
7.39999999999999,88.76901361907775,16.23098638092225,105.0
7.499999999999989,89.19753086419749,15.802469135802518,105.0
7.599999999999989,89.61199928481953,15.388000715180466,105.0
7.699999999999989,90.01296797906703,14.987032020932968,105.0
7.799999999999988,90.40096116896369,14.599038831036314,105.0
7.899999999999988,90.77647948011094,14.22352051988907,105.0
7.999999999999988,91.1400011477811,13.859998852218895,105.0
8.099999999999987,91.49198315409811,13.508016845901885,105.0
8.199999999999987,91.832862300653,13.16713769934699,105.0
8.299999999999986,92.16305622060192,12.836943779398089,105.0
8.399999999999986,92.48296433401642,12.51703566598358,105.0
8.499999999999986,92.79296874999996,12.207031250000043,105.0
8.599999999999985,93.09343511884558,11.906564881154418,105.0
8.699999999999985,93.38471343729057,11.615286562709432,105.0
8.799999999999985,93.6671388097187,11.3328611902813,105.0
8.899999999999984,93.9410321679717,11.0589678320283,105.0
8.999999999999984,94.20670095225563,10.79329904774437,105.0
9.099999999999984,94.46443975546455,10.535560244535452,105.0
9.199999999999983,94.7145309330924,10.2854690669076,105.0
9.299999999999983,94.95724518076312,10.042754819236881,105.0
9.399999999999983,95.1928420812779,9.8071579187221,105.0
9.499999999999982,95.42157062295706,9.578429377042943,105.0
9.599999999999982,95.64366969094017,9.35633030905983,105.0
9.699999999999982,95.85936853300319,9.140631466996803,105.0
9.799999999999981,96.06888720135261,8.931112798647392,105.0
9.89999999999998,96.2724369717653,8.727563028234702,105.0
9.99999999999998,96.47022074135772,8.529779258642273,105.0
10.09999999999998,96.66243340618806,8.33756659381194,105.0
10.19999999999998,96.84926221982114,8.150737780178861,105.0
