Displacement(m),Load(kN),Stress(kPa),Strain
0.00022,78.2,39826.94124507574,0.0022
0.00022,78.3,39877.870837460745,0.0022
0.00022,78.4,39928.80042984575,0.0022
0.00022,78.6,40030.65961461576,0.0022
0.00022,78.7,40081.589207000776,0.0022
0.00022,78.9,40183.44839177079,0.0022
0.00022,79.0,40234.37798415579,0.0022
0.00022,79.1,40285.3075765408,0.0022
0.00022,79.3,40387.166761310815,0.0022
0.00023,79.4,40438.09635369583,0.0023
0.00023,79.7,40590.885130850846,0.0023
0.00023,79.8,40641.81472323585,0.0023
0.00023,80.0,40743.67390800587,0.0023
0.00023,80.1,40794.60350039087,0.0023
0.00023,80.2,40845.533092775884,0.0023
0.00023,80.4,40947.3922775459,0.0023
0.00023,80.5,40998.32186993091,0.0023
0.00023,80.7,41100.18105470092,0.0023
0.00023,81.0,41252.96983185594,0.0023
0.00023,81.1,41303.899424240946,0.0023
0.00023,81.3,41405.75860901096,0.0023
0.00023,81.4,41456.68820139598,0.0023
0.00023,81.6,41558.547386165985,0.0023
0.00023,81.7,41609.47697855099,0.0023
0.00023,81.9,41711.33616332101,0.0023
0.00023,82.1,41813.195348091016,0.0023
0.00023,82.2,41864.12494047603,0.0023
0.00023,82.4,41965.98412524605,0.0023
0.00023,82.5,42016.913717631054,0.0023
0.00023,82.7,42118.77290240107,0.0023
0.00023,82.8,42169.70249478607,0.0023
0.00023,83.0,42271.561679556085,0.0023
0.00023,83.1,42322.49127194109,0.0023
0.00023,83.3,42424.35045671111,0.0023
0.00023,83.5,42526.209641481124,0.0023
0.00023999999999999998,83.7,42628.06882625114,0.0024
0.00023999999999999998,83.8,42678.99841863615,0.0024
0.00023999999999999998,84.0,42780.85760340616,0.0024
0.00023999999999999998,84.1,42831.78719579116,0.0024
0.00023999999999999998,84.3,42933.646380561186,0.0024
0.00023999999999999998,84.5,43035.5055653312,0.0024
0.00023999999999999998,84.6,43086.4351577162,0.0024
0.00023999999999999998,84.7,43137.36475010122,0.0024
0.00023999999999999998,84.8,43188.29434248622,0.0024
0.00023999999999999998,85.0,43290.15352725623,0.0024
0.00023999999999999998,85.2,43392.01271202625,0.0024
0.00023999999999999998,85.4,43493.87189679627,0.0024
0.00023999999999999998,85.5,43544.80148918127,0.0024
0.00023999999999999998,85.6,43595.73108156628,0.0024
0.00023999999999999998,85.7,43646.660673951286,0.0024
0.00023999999999999998,85.9,43748.5198587213,0.0024
0.00023999999999999998,86.1,43850.37904349131,0.0024
0.00023999999999999998,86.2,43901.308635876325,0.0024
0.00023999999999999998,86.5,44054.09741303135,0.0024
0.00023999999999999998,86.6,44105.02700541635,0.0024
0.00023999999999999998,86.8,44206.886190186364,0.0024
0.00023999999999999998,86.9,44257.81578257138,0.0024
0.00025,87.2,44410.604559726395,0.0025
0.00025,87.5,44563.39333688142,0.0025
0.00025,87.7,44665.25252165143,0.0025
0.00025,87.9,44767.11170642145,0.0025
0.00025,88.1,44868.97089119146,0.0025
0.00025,88.3,44970.83007596147,0.0025
0.00025,88.4,45021.75966834649,0.0025
0.00025,88.6,45123.618853116495,0.0025
0.00025,88.8,45225.47803788651,0.0025
0.00025,89.0,45327.337222656526,0.0025
0.00025,89.3,45480.12599981155,0.0025
0.00025,89.5,45581.985184581565,0.0025
0.00025,89.7,45683.84436935158,0.0025
0.00025,89.8,45734.77396173659,0.0025
0.00025,90.0,45836.6331465066,0.0025
0.00025,90.1,45887.562738891604,0.0025
0.00025,90.3,45989.42192366162,0.0025
0.00025,90.4,46040.351516046634,0.0025
0.00025,90.5,46091.28110843164,0.0025
0.00025,90.7,46193.14029320166,0.0025
0.00025,90.9,46294.99947797167,0.0025
0.00025,91.0,46345.92907035667,0.0025
0.00026000000000000003,91.2,46447.78825512669,0.0026000000000000003
0.00026000000000000003,91.4,46549.647439896704,0.0026000000000000003
0.00026000000000000003,91.5,46600.57703228171,0.0026000000000000003
0.00026000000000000003,91.7,46702.43621705173,0.0026000000000000003
0.00026000000000000003,92.0,46855.22499420675,0.0026000000000000003
0.00026000000000000003,92.1,46906.15458659175,0.0026000000000000003
0.00026000000000000003,92.3,47008.013771361766,0.0026000000000000003
0.00026000000000000003,92.4,47058.94336374678,0.0026000000000000003
0.00026000000000000003,92.6,47160.80254851679,0.0026000000000000003
0.00026000000000000003,92.8,47262.661733286805,0.0026000000000000003
0.00026000000000000003,92.9,47313.59132567182,0.0026000000000000003
0.00026000000000000003,93.1,47415.45051044183,0.0026000000000000003
0.00026000000000000003,93.3,47517.30969521184,0.0026000000000000003
0.00026000000000000003,93.5,47619.16887998186,0.0026000000000000003
0.00026000000000000003,93.7,47721.028064751874,0.0026000000000000003
0.00026000000000000003,93.8,47771.95765713688,0.0026000000000000003
0.00026000000000000003,94.0,47873.8168419069,0.0026000000000000003
0.00026000000000000003,94.2,47975.67602667691,0.0026000000000000003
0.00026000000000000003,94.3,48026.60561906191,0.0026000000000000003
0.00026000000000000003,94.5,48128.464803831936,0.0026000000000000003
0.00026000000000000003,94.8,48281.25358098695,0.0026000000000000003
0.00027,94.9,48332.18317337197,0.0026999999999999997
0.00027,95.3,48535.90154291199,0.0026999999999999997
0.00027,95.5,48637.760727682005,0.0026999999999999997
0.00027,95.6,48688.69032006701,0.0026999999999999997
0.00027,95.8,48790.54950483703,0.0026999999999999997
0.00027,95.9,48841.479097222036,0.0026999999999999997
0.00027,96.2,48994.26787437706,0.0026999999999999997
0.00027,96.3,49045.19746676206,0.0026999999999999997
0.00027,96.5,49147.056651532075,0.0026999999999999997
0.00027,96.6,49197.98624391708,0.0026999999999999997
0.00027,96.8,49299.8454286871,0.0026999999999999997
0.00027,96.9,49350.77502107211,0.0026999999999999997
0.00027,97.1,49452.63420584212,0.0026999999999999997
0.00027,97.3,49554.49339061214,0.0026999999999999997
0.00027,97.6,49707.28216776716,0.0026999999999999997
0.00027,97.7,49758.21176015217,0.0026999999999999997
0.00027,97.9,49860.07094492218,0.0026999999999999997
0.00027,98.0,49911.00053730719,0.0026999999999999997
0.00027,98.2,50012.859722077206,0.0026999999999999997
0.00027,98.3,50063.78931446221,0.0026999999999999997
0.00027,98.5,50165.64849923222,0.0026999999999999997
0.00027,98.6,50216.57809161723,0.0026999999999999997
0.00027,98.9,50369.36686877226,0.0026999999999999997
0.00027,99.0,50420.29646115726,0.0026999999999999997
0.00027,99.2,50522.155645927276,0.0026999999999999997
0.00027,99.3,50573.085238312284,0.0026999999999999997
0.00027,99.5,50674.9444230823,0.0026999999999999997
0.00028000000000000003,99.7,50776.803607852315,0.0028
0.00028000000000000003,99.9,50878.66279262233,0.0028
0.00028000000000000003,100.0,50929.59238500734,0.0028
0.00028000000000000003,100.2,51031.45156977735,0.0028
0.00028000000000000003,100.5,51184.24034693237,0.0028
0.00028000000000000003,100.7,51286.09953170239,0.0028
0.00028000000000000003,100.8,51337.02912408739,0.0028
0.00028000000000000003,101.0,51438.88830885741,0.0028
0.00028000000000000003,101.1,51489.817901242415,0.0028
0.00028000000000000003,101.3,51591.67708601243,0.0028
0.00028000000000000003,101.4,51642.60667839744,0.0028
0.00028000000000000003,101.5,51693.536270782446,0.0028
0.00028000000000000003,101.7,51795.39545555246,0.0028
0.00028000000000000003,101.9,51897.25464032248,0.0028
0.00028000000000000003,102.1,51999.113825092485,0.0028
0.00028000000000000003,102.3,52100.9730098625,0.0028
0.00028000000000000003,102.4,52151.902602247515,0.0028
0.00028000000000000003,102.5,52202.832194632516,0.0028
0.00028000000000000003,102.7,52304.69137940253,0.0028
0.00028000000000000003,102.8,52355.62097178754,0.0028
0.00028000000000000003,103.1,52508.40974894256,0.0028
0.00029,103.2,52559.33934132757,0.0029
0.00029,103.5,52712.12811848259,0.0029
0.00029,103.7,52813.98730325261,0.0029
0.00029,103.8,52864.916895637616,0.0029
0.00029,104.0,52966.77608040763,0.0029
0.00029,104.2,53068.63526517765,0.0029
0.00029,104.3,53119.56485756265,0.0029
0.00029,104.5,53221.42404233266,0.0029
0.00029,104.6,53272.35363471767,0.0029
0.00029,104.8,53374.212819487686,0.0029
0.00029,104.9,53425.1424118727,0.0029
0.00029,105.1,53527.00159664271,0.0029
0.00029,105.2,53577.93118902772,0.0029
0.00029,105.4,53679.79037379773,0.0029
0.00029,105.5,53730.71996618274,0.0029
0.00029,105.6,53781.64955856774,0.0029
0.00029,105.9,53934.43833572277,0.0029
0.00029,106.0,53985.36792810778,0.0029
0.00029,106.2,54087.227112877794,0.0029
0.00029,106.3,54138.156705262794,0.0029
0.00029,106.5,54240.01589003281,0.0029
0.00029,106.6,54290.94548241782,0.0029
0.00029,106.8,54392.80466718783,0.0029
0.00029,106.9,54443.73425957285,0.0029
0.00029,107.1,54545.593444342856,0.0029
0.00029,107.2,54596.523036727864,0.0029
0.00029,107.3,54647.45262911287,0.0029
0.00029,107.5,54749.31181388289,0.0029
0.00029,107.6,54800.24140626789,0.0029
0.0003,107.8,54902.1005910379,0.0029999999999999996
0.0003,107.9,54953.03018342292,0.0029999999999999996
0.0003,108.0,55003.959775807925,0.0029999999999999996
0.0003,108.2,55105.81896057794,0.0029999999999999996
0.0003,108.3,55156.74855296294,0.0029999999999999996
0.0003,108.5,55258.60773773296,0.0029999999999999996
0.0003,108.8,55411.39651488798,0.0029999999999999996
0.0003,109.0,55513.255699657995,0.0029999999999999996
0.0003,109.1,55564.185292043,0.0029999999999999996
0.0003,109.3,55666.04447681302,0.0029999999999999996
0.0003,109.5,55767.903661583034,0.0029999999999999996
0.0003,109.7,55869.76284635305,0.0029999999999999996
0.0003,109.8,55920.69243873805,0.0029999999999999996
0.0003,109.9,55971.622031123065,0.0029999999999999996
0.0003,110.0,56022.55162350807,0.0029999999999999996
0.0003,110.1,56073.48121589307,0.0029999999999999996
0.0003,110.3,56175.34040066309,0.0029999999999999996
0.0003,110.4,56226.2699930481,0.0029999999999999996
0.0003,110.5,56277.1995854331,0.0029999999999999996
0.0003,110.7,56379.05877020312,0.0029999999999999996
0.0003,110.8,56429.98836258813,0.0029999999999999996
0.0003,111.0,56531.84754735814,0.0029999999999999996
0.0003,111.1,56582.77713974315,0.0029999999999999996
0.0003,111.3,56684.636324513165,0.0029999999999999996
0.00031,111.6,56837.42510166818,0.0031
0.00031,112.0,57041.14347120822,0.0031
0.00031,112.1,57092.07306359322,0.0031
0.00031,112.3,57193.932248363235,0.0031
0.00031,112.4,57244.86184074825,0.0031
0.00031,112.6,57346.72102551826,0.0031
0.00031,112.8,57448.58021028827,0.0031
0.00031,112.9,57499.50980267328,0.0031
0.00031,113.1,57601.3689874433,0.0031
0.00031,113.2,57652.298579828304,0.0031
0.00031,113.4,57754.15776459832,0.0031
0.00031,113.5,57805.08735698333,0.0031
0.00031,113.7,57906.94654175334,0.0031
0.00031,113.9,58008.80572652336,0.0031
0.00031,114.2,58161.59450367838,0.0031
0.00031,114.4,58263.4536884484,0.0031
0.00031,114.5,58314.3832808334,0.0031
0.00031,114.7,58416.24246560341,0.0031
0.00031,114.9,58518.10165037343,0.0031
0.00031,115.0,58569.031242758436,0.0031
0.00031,115.2,58670.89042752845,0.0031
0.00031,115.4,58772.74961229847,0.0031
0.00031,115.5,58823.679204683474,0.0031
0.00031,115.8,58976.46798183849,0.0031
0.00031,115.9,59027.397574223505,0.0031
0.00032,116.1,59129.25675899351,0.0032
0.00032,116.2,59180.18635137853,0.0032
0.00032,116.4,59282.045536148544,0.0032
0.00032,116.6,59383.90472091855,0.0032
0.00032,116.8,59485.76390568857,0.0032
0.00032,117.1,59638.55268284359,0.0032
0.00032,117.3,59740.411867613606,0.0032
0.00032,117.4,59791.34145999861,0.0032
0.00032,117.6,59893.20064476862,0.0032
0.00032,117.7,59944.13023715364,0.0032
0.00032,117.9,60045.98942192365,0.0032
0.00032,118.0,60096.91901430865,0.0032
0.00032,118.1,60147.84860669366,0.0032
0.00032,118.2,60198.778199078675,0.0032
0.00032,118.3,60249.707791463676,0.0032
0.00032,118.4,60300.63738384869,0.0032
0.00032,118.5,60351.56697623369,0.0032
0.00032,118.6,60402.4965686187,0.0032
0.00032,118.7,60453.42616100371,0.0032
0.00032,118.8,60504.355753388714,0.0032
0.00032,119.0,60606.21493815873,0.0032
0.00032,119.1,60657.14453054373,0.0032
0.00032,119.3,60759.00371531375,0.0032
0.00032,119.4,60809.93330769876,0.0032
0.00032,119.6,60911.79249246877,0.0032
0.00032,119.9,61064.5812696238,0.0032
0.00033,120.0,61115.5108620088,0.0033
0.00033,120.3,61268.29963916382,0.0033
0.00033,120.4,61319.22923154884,0.0033
0.00033,120.6,61421.088416318846,0.0033
0.00033,120.7,61472.01800870385,0.0033
0.00033,120.9,61573.87719347387,0.0033
0.00033,121.1,61675.73637824388,0.0033
0.00033,121.2,61726.66597062889,0.0033
0.00033,121.4,61828.52515539891,0.0033
0.00033,121.6,61930.384340168916,0.0033
0.00033,121.8,62032.24352493893,0.0033
0.00033,121.9,62083.173117323946,0.0033
0.00033,122.0,62134.102709708946,0.0033
0.00033,122.1,62185.032302093954,0.0033
0.00033,122.3,62286.89148686397,0.0033
0.00033,122.6,62439.68026401899,0.0033
0.00033,122.7,62490.609856404,0.0033
0.00033,122.8,62541.53944878901,0.0033
0.00033,123.0,62643.39863355902,0.0033
0.00033,123.1,62694.328225944024,0.0033
0.00033,123.2,62745.25781832904,0.0033
0.00033,123.4,62847.117003099054,0.0033
0.00033,123.5,62898.04659548406,0.0033
0.00033,123.7,62999.90578025408,0.0033
0.00033,123.8,63050.83537263908,0.0033
0.00033,124.0,63152.69455740909,0.0033
0.00034,124.2,63254.55374217911,0.0034000000000000002
0.00034,124.3,63305.48333456412,0.0034000000000000002
0.00034,124.5,63407.34251933413,0.0034000000000000002
0.00034,124.6,63458.27211171914,0.0034000000000000002
0.00034,124.9,63611.06088887416,0.0034000000000000002
0.00034,125.0,63661.99048125917,0.0034000000000000002
0.00034,125.2,63763.849666029186,0.0034000000000000002
0.00034,125.5,63916.63844318421,0.0034000000000000002
0.00034,125.6,63967.56803556921,0.0034000000000000002
0.00034,125.7,64018.497627954224,0.0034000000000000002
0.00034,125.9,64120.35681272424,0.0034000000000000002
0.00034,126.0,64171.28640510924,0.0034000000000000002
0.00034,126.1,64222.21599749425,0.0034000000000000002
0.00034,126.2,64273.145589879256,0.0034000000000000002
0.00034,126.3,64324.07518226426,0.0034000000000000002
0.00034,126.5,64425.93436703428,0.0034000000000000002
0.00034,126.6,64476.86395941929,0.0034000000000000002
0.00034,126.7,64527.793551804294,0.0034000000000000002
0.00034,126.9,64629.65273657431,0.0034000000000000002
0.00034,127.0,64680.58232895932,0.0034000000000000002
0.00034,127.2,64782.44151372933,0.0034000000000000002
0.00034,127.3,64833.37110611433,0.0034000000000000002
0.00034,127.5,64935.230290884356,0.0034000000000000002
0.00034,127.6,64986.159883269356,0.0034000000000000002
0.00034,127.8,65088.01906803937,0.0034000000000000002
0.00035,128.1,65240.807845194395,0.0034999999999999996
0.00035,128.6,65495.45580711943,0.0034999999999999996
0.00035,128.7,65546.38539950443,0.0034999999999999996
0.00035,129.0,65699.17417665946,0.0034999999999999996
0.00035,129.2,65801.03336142947,0.0034999999999999996
0.00035,129.4,65902.8925461995,0.0034999999999999996
0.00035,129.6,66004.75173096951,0.0034999999999999996
0.00035,129.8,66106.61091573953,0.0034999999999999996
0.00035,130.0,66208.47010050954,0.0034999999999999996
0.00035,130.2,66310.32928527954,0.0034999999999999996
0.00035,130.4,66412.18847004957,0.0034999999999999996
0.00035,130.6,66514.04765481957,0.0034999999999999996
0.00035,130.9,66666.8364319746,0.0034999999999999996
0.00035,131.1,66768.69561674462,0.0034999999999999996
0.00035,131.2,66819.62520912962,0.0034999999999999996
0.00035,131.4,66921.48439389963,0.0034999999999999996
0.00035,131.5,66972.41398628465,0.0034999999999999996
0.00035,131.7,67074.27317105465,0.0034999999999999996
0.00035,131.8,67125.20276343968,0.0034999999999999996
0.00035,132.0,67227.06194820968,0.0034999999999999996
0.00035,132.1,67277.99154059468,0.0034999999999999996
0.00035,132.3,67379.85072536471,0.0034999999999999996
0.00035,132.5,67481.70991013473,0.0034999999999999996
0.00035999999999999997,132.7,67583.56909490473,0.0035999999999999995
0.00035999999999999997,132.8,67634.49868728974,0.0035999999999999995
0.00035999999999999997,133.1,67787.28746444476,0.0035999999999999995
0.00035999999999999997,133.3,67889.14664921479,0.0035999999999999995
0.00035999999999999997,133.5,67991.00583398479,0.0035999999999999995
0.00035999999999999997,133.8,68143.79461113982,0.0035999999999999995
0.00035999999999999997,134.1,68296.58338829484,0.0035999999999999995
0.00035999999999999997,134.3,68398.44257306485,0.0035999999999999995
0.00035999999999999997,134.5,68500.30175783487,0.0035999999999999995
0.00035999999999999997,134.6,68551.23135021987,0.0035999999999999995
0.00035999999999999997,134.8,68653.0905349899,0.0035999999999999995
0.00035999999999999997,134.9,68704.0201273749,0.0035999999999999995
0.00035999999999999997,135.1,68805.87931214491,0.0035999999999999995
0.00035999999999999997,135.2,68856.80890452991,0.0035999999999999995
0.00035999999999999997,135.4,68958.66808929993,0.0035999999999999995
0.00035999999999999997,135.6,69060.52727406994,0.0035999999999999995
0.00035999999999999997,135.7,69111.45686645494,0.0035999999999999995
0.00035999999999999997,135.9,69213.31605122497,0.0035999999999999995
0.00035999999999999997,136.0,69264.24564360997,0.0035999999999999995
0.00035999999999999997,136.1,69315.17523599498,0.0035999999999999995
0.00035999999999999997,136.3,69417.034420765,0.0035999999999999995
0.00037,136.5,69518.893605535,0.0036999999999999997
0.00037,136.8,69671.68238269004,0.0036999999999999997
0.00037,136.9,69722.61197507505,0.0036999999999999997
0.00037,137.1,69824.47115984505,0.0036999999999999997
0.00037,137.3,69926.33034461508,0.0036999999999999997
0.00037,137.4,69977.25993700008,0.0036999999999999997
0.00037,137.6,70079.11912177008,0.0036999999999999997
0.00037,137.8,70180.97830654011,0.0036999999999999997
0.00037,138.0,70282.83749131013,0.0036999999999999997
0.00037,138.2,70384.69667608013,0.0036999999999999997
0.00037,138.3,70435.62626846514,0.0036999999999999997
0.00037,138.5,70537.48545323516,0.0036999999999999997
0.00037,138.7,70639.34463800518,0.0036999999999999997
0.00037,138.8,70690.27423039019,0.0036999999999999997
0.00037,139.0,70792.13341516019,0.0036999999999999997
0.00037,139.3,70944.92219231522,0.0036999999999999997
0.00037,139.4,70995.85178470022,0.0036999999999999997
0.00037,139.6,71097.71096947024,0.0036999999999999997
0.00037,139.7,71148.64056185524,0.0036999999999999997
0.00037,139.9,71250.49974662527,0.0036999999999999997
0.00037,140.0,71301.42933901027,0.0036999999999999997
0.00037,140.1,71352.35893139527,0.0036999999999999997
0.00037,140.3,71454.2181161653,0.0036999999999999997
0.00038,140.5,71556.0773009353,0.0038
0.00038,140.7,71657.93648570532,0.0038
0.00038,140.8,71708.86607809033,0.0038
0.00038,141.1,71861.65485524535,0.0038
0.00038,141.2,71912.58444763035,0.0038
0.00038,141.4,72014.44363240038,0.0038
0.00038,141.6,72116.30281717038,0.0038
0.00038,141.8,72218.1620019404,0.0038
0.00038,142.1,72370.95077909542,0.0038
0.00038,142.2,72421.88037148042,0.0038
0.00038,142.4,72523.73955625045,0.0038
0.00038,142.5,72574.66914863545,0.0038
0.00038,142.7,72676.52833340545,0.0038
0.00038,142.8,72727.45792579048,0.0038
0.00038,143.0,72829.31711056049,0.0038
0.00038,143.1,72880.2467029455,0.0038
0.00038,143.2,72931.1762953305,0.0038
0.00038,143.4,73033.03548010052,0.0038
0.00038,143.5,73083.96507248553,0.0038
0.00038,143.7,73185.82425725553,0.0038
0.00038,143.8,73236.75384964056,0.0038
0.00038,144.0,73338.61303441056,0.0038
0.00038,144.1,73389.54262679556,0.0038
0.00038,144.2,73440.47221918058,0.0038
0.00039,144.4,73542.3314039506,0.0039
0.00039,144.7,73695.12018110561,0.0039
0.00039,145.0,73847.90895826064,0.0039
0.00039,145.2,73949.76814303064,0.0039
0.00039,145.3,74000.69773541567,0.0039
0.00039,145.5,74102.55692018567,0.0039
0.00039,145.7,74204.41610495569,0.0039
0.00039,145.9,74306.2752897257,0.0039
0.00039,146.0,74357.20488211072,0.0039
0.00039,146.2,74459.06406688072,0.0039
0.00039,146.3,74509.99365926573,0.0039
0.00039,146.5,74611.85284403575,0.0039
0.00039,146.6,74662.78243642075,0.0039
0.00039,146.7,74713.71202880575,0.0039
0.00039,146.9,74815.57121357578,0.0039
0.00039,147.0,74866.50080596078,0.0039
0.00039,147.1,74917.4303983458,0.0039
0.00039,147.3,75019.28958311581,0.0039
0.00039,147.5,75121.14876788582,0.0039
0.00039,147.6,75172.07836027083,0.0039
0.00039,147.8,75273.93754504084,0.0039
0.00039,148.0,75375.79672981086,0.0039
0.00039,148.2,75477.65591458087,0.0039
0.00039,148.3,75528.58550696589,0.0039
0.0004,148.6,75681.3742841209,0.004
0.0004,148.7,75732.3038765059,0.004
0.0004,148.8,75783.23346889092,0.004
0.0004,149.0,75885.09265366093,0.004
0.0004,149.1,75936.02224604593,0.004
0.0004,149.3,76037.88143081596,0.004
0.0004,149.4,76088.81102320096,0.004
0.0004,149.6,76190.67020797096,0.004
0.0004,149.7,76241.59980035598,0.004
0.0004,149.8,76292.529392741,0.004
0.0004,150.0,76394.38857751101,0.004
0.0004,150.1,76445.31816989601,0.004
0.0004,150.4,76598.10694705104,0.004
0.0004,150.5,76649.03653943604,0.004
0.0004,150.7,76750.89572420604,0.004
0.0004,150.8,76801.82531659107,0.004
0.0004,150.9,76852.75490897607,0.004
0.0004,151.1,76954.61409374609,0.004
0.0004,151.2,77005.54368613109,0.004
0.0004,151.3,77056.4732785161,0.004
0.0004,151.4,77107.4028709011,0.004
0.0004,151.5,77158.33246328612,0.004
0.0004,151.7,77260.19164805612,0.004
0.0004,151.8,77311.12124044113,0.004
0.0004,151.9,77362.05083282615,0.004
0.0004,152.1,77463.91001759615,0.004
0.00041,152.1,77463.91001759615,0.0040999999999999995
0.00041,152.5,77667.62838713618,0.0040999999999999995
0.00041,152.7,77769.4875719062,0.0040999999999999995
0.00041,152.8,77820.41716429121,0.0040999999999999995
0.00041,153.1,77973.20594144623,0.0040999999999999995
0.00041,153.2,78024.13553383123,0.0040999999999999995
0.00041,153.4,78125.99471860126,0.0040999999999999995
0.00041,153.5,78176.92431098626,0.0040999999999999995
0.00041,153.6,78227.85390337126,0.0040999999999999995
0.00041,153.8,78329.71308814129,0.0040999999999999995
0.00041,153.9,78380.64268052629,0.0040999999999999995
0.00041,154.0,78431.57227291129,0.0040999999999999995
0.00041,154.1,78482.5018652963,0.0040999999999999995
0.00041,154.2,78533.4314576813,0.0040999999999999995
0.00041,154.3,78584.36105006632,0.0040999999999999995
0.00041,154.4,78635.29064245133,0.0040999999999999995
0.00041,154.5,78686.22023483634,0.0040999999999999995
0.00041,154.6,78737.14982722134,0.0040999999999999995
0.00041,154.7,78788.07941960634,0.0040999999999999995
0.00041,154.9,78889.93860437637,0.0040999999999999995
0.00041,155.1,78991.79778914638,0.0040999999999999995
0.00041,155.2,79042.72738153138,0.0040999999999999995
0.00041,155.3,79093.6569739164,0.0040999999999999995
0.00041,155.5,79195.51615868641,0.0040999999999999995
0.00041,155.6,79246.44575107141,0.0040999999999999995
0.00041999999999999996,155.9,79399.23452822644,0.0042
0.00041999999999999996,156.0,79450.16412061144,0.0042
0.00041999999999999996,156.2,79552.02330538146,0.0042
0.00041999999999999996,156.3,79602.95289776647,0.0042
0.00041999999999999996,156.5,79704.81208253647,0.0042
0.00041999999999999996,156.6,79755.74167492149,0.0042
0.00041999999999999996,156.7,79806.67126730649,0.0042
0.00041999999999999996,156.8,79857.6008596915,0.0042
0.00041999999999999996,157.0,79959.46004446152,0.0042
0.00041999999999999996,157.2,80061.31922923152,0.0042
0.00041999999999999996,157.3,80112.24882161655,0.0042
0.00041999999999999996,157.4,80163.17841400155,0.0042
0.00041999999999999996,157.5,80214.10800638655,0.0042
0.00041999999999999996,157.6,80265.03759877155,0.0042
0.00041999999999999996,157.8,80366.89678354158,0.0042
0.00041999999999999996,157.9,80417.82637592658,0.0042
0.00041999999999999996,158.0,80468.75596831158,0.0042
0.00041999999999999996,158.1,80519.6855606966,0.0042
0.00041999999999999996,158.3,80621.54474546661,0.0042
0.00041999999999999996,158.4,80672.47433785163,0.0042
0.00041999999999999996,158.6,80774.33352262163,0.0042
0.00041999999999999996,158.7,80825.26311500663,0.0042
0.00041999999999999996,158.8,80876.19270739166,0.0042
0.00041999999999999996,158.9,80927.12229977666,0.0042
0.00041999999999999996,159.0,80978.05189216166,0.0042
0.00043,159.2,81079.91107693168,0.0043
0.00043,159.4,81181.77026170169,0.0043
0.00043,159.5,81232.6998540867,0.0043
0.00043,159.6,81283.6294464717,0.0043
0.00043,159.7,81334.5590388567,0.0043
0.00043,159.9,81436.41822362674,0.0043
0.00043,160.0,81487.34781601174,0.0043
0.00043,160.1,81538.27740839674,0.0043
0.00043,160.2,81589.20700078174,0.0043
0.00043,160.3,81640.13659316677,0.0043
0.00043,160.4,81691.06618555177,0.0043
0.00043,160.5,81741.99577793677,0.0043
0.00043,160.7,81843.85496270678,0.0043
0.00043,160.8,81894.7845550918,0.0043
0.00043,160.9,81945.7141474768,0.0043
0.00043,161.0,81996.64373986181,0.0043
0.00043,161.1,82047.57333224681,0.0043
0.00043,161.2,82098.50292463182,0.0043
0.00043,161.4,82200.36210940185,0.0043
0.00043,161.6,82302.22129417185,0.0043
0.00043,161.8,82404.08047894188,0.0043
0.00043,161.9,82455.01007132688,0.0043
0.00043,162.1,82556.86925609689,0.0043
0.00043,162.3,82658.72844086691,0.0043
0.00044,162.5,82760.58762563692,0.0044
0.00044,162.6,82811.51721802192,0.0044
0.00044,162.8,82913.37640279195,0.0044
0.00044,163.0,83015.23558756195,0.0044
0.00044,163.2,83117.09477233197,0.0044
0.00044,163.3,83168.02436471698,0.0044
0.00044,163.5,83269.883549487,0.0044
0.00044,163.6,83320.813141872,0.0044
0.00044,163.8,83422.67232664202,0.0044
0.00044,163.9,83473.60191902703,0.0044
0.00044,164.2,83626.39069618203,0.0044
0.00044,164.3,83677.32028856706,0.0044
0.00044,164.5,83779.17947333706,0.0044
0.00044,164.7,83881.03865810708,0.0044
0.00044,164.8,83931.9682504921,0.0044
0.00044,164.9,83982.8978428771,0.0044
0.00044,165.1,84084.75702764711,0.0044
0.00044,165.2,84135.68662003211,0.0044
0.00044,165.3,84186.61621241712,0.0044
0.00044,165.4,84237.54580480214,0.0044
0.00044,165.6,84339.40498957214,0.0044
0.00044,165.8,84441.26417434217,0.0044
0.00044,165.9,84492.19376672717,0.0044
0.00045,166.1,84594.05295149719,0.0045
0.00045,166.3,84695.9121362672,0.0045
0.00045,166.5,84797.77132103722,0.0045
0.00045,166.6,84848.70091342222,0.0045
0.00045,166.7,84899.63050580722,0.0045
0.00045,167.1,85103.34887534725,0.0045
0.00045,167.3,85205.20806011728,0.0045
0.00045,167.4,85256.13765250228,0.0045
0.00045,167.5,85307.0672448873,0.0045
0.00045,167.7,85408.9264296573,0.0045
0.00045,167.8,85459.85602204231,0.0045
0.00045,168.0,85561.71520681233,0.0045
0.00045,168.1,85612.64479919733,0.0045
0.00045,168.2,85663.57439158233,0.0045
0.00045,168.3,85714.50398396736,0.0045
0.00045,168.4,85765.43357635236,0.0045
0.00045,168.5,85816.36316873736,0.0045
0.00045,168.6,85867.29276112237,0.0045
0.00045,168.7,85918.22235350737,0.0045
0.00045,168.8,85969.15194589239,0.0045
0.00045,168.9,86020.08153827739,0.0045
0.00045,169.0,86071.0111306624,0.0045
0.00045,169.1,86121.9407230474,0.0045
0.00045,169.2,86172.8703154324,0.0045
0.00045,169.4,86274.72950020243,0.0045
0.00045,169.6,86376.58868497243,0.0045
0.00046,169.8,86478.44786974246,0.0046
