Displacement(m),Load(kN),Stress(kPa),Strain
2.9999999999999997e-05,7.5,3819.71942887555,0.0003
2.9999999999999997e-05,7.6,3870.649021260557,0.0003
2.9999999999999997e-05,7.7,3921.578613645565,0.0003
2.9999999999999997e-05,7.8,3972.508206030572,0.0003
2.9999999999999997e-05,7.9,4023.43779841558,0.0003
2.9999999999999997e-05,8.0,4074.3673908005867,0.0003
2.9999999999999997e-05,8.1,4125.296983185594,0.0003
2.9999999999999997e-05,8.2,4176.226575570601,0.0003
2.9999999999999997e-05,8.3,4227.156167955609,0.0003
2.9999999999999997e-05,8.4,4278.085760340617,0.0003
2.9999999999999997e-05,8.6,4379.94494511063,0.0003
2.9999999999999997e-05,8.7,4430.874537495638,0.0003
2.9999999999999997e-05,8.8,4481.804129880646,0.0003
2.9999999999999997e-05,8.9,4532.733722265653,0.0003
2.9999999999999997e-05,9.0,4583.66331465066,0.0003
2.9999999999999997e-05,9.1,4634.592907035667,0.0003
2.9999999999999997e-05,9.2,4685.522499420675,0.0003
2.9999999999999997e-05,9.3,4736.452091805682,0.0003
4e-05,9.3,4736.452091805682,0.0004
4e-05,9.4,4787.38168419069,0.0004
4e-05,9.5,4838.311276575697,0.0004
4e-05,9.6,4889.240868960704,0.0004
4e-05,9.7,4940.170461345711,0.0004
4e-05,9.8,4991.100053730719,0.0004
4e-05,9.9,5042.029646115727,0.0004
4e-05,10.0,5092.959238500734,0.0004
4e-05,10.1,5143.88883088574,0.0004
4e-05,10.2,5194.818423270748,0.0004
4e-05,10.3,5245.748015655756,0.0004
4e-05,10.4,5296.6776080407635,0.0004
4e-05,10.5,5347.60720042577,0.0004
4e-05,10.6,5398.536792810777,0.0004
4e-05,10.7,5449.466385195785,0.0004
4e-05,10.8,5500.3959775807925,0.0004
4e-05,10.9,5551.325569965799,0.0004
4e-05,11.0,5602.255162350807,0.0004
4e-05,11.1,5653.184754735814,0.0004
4e-05,11.2,5704.114347120822,0.0004
4e-05,11.3,5755.043939505829,0.0004
4e-05,11.4,5805.973531890836,0.0004
4e-05,11.5,5856.903124275844,0.0004
4e-05,11.6,5907.832716660851,0.0004
4e-05,11.7,5958.762309045858,0.0004
5e-05,11.8,6009.691901430866,0.0005
5e-05,12.0,6111.5510862008805,0.0005
5e-05,12.2,6213.410270970895,0.0005
5e-05,12.3,6264.339863355903,0.0005
5e-05,12.4,6315.2694557409095,0.0005
5e-05,12.6,6417.128640510924,0.0005
5e-05,12.7,6468.058232895931,0.0005
5e-05,12.8,6518.987825280939,0.0005
5e-05,12.9,6569.917417665946,0.0005
5e-05,13.0,6620.847010050954,0.0005
5e-05,13.1,6671.776602435961,0.0005
5e-05,13.2,6722.7061948209675,0.0005
5e-05,13.3,6773.635787205976,0.0005
5e-05,13.4,6824.565379590983,0.0005
5e-05,13.5,6875.494971975991,0.0005
5e-05,13.6,6926.4245643609975,0.0005
5e-05,13.7,6977.354156746004,0.0005
5e-05,13.8,7028.283749131013,0.0005
5e-05,13.9,7079.21334151602,0.0005
5e-05,14.1,7181.072526286034,0.0005
5e-05,14.2,7232.002118671041,0.0005
5e-05,14.3,7282.93171105605,0.0005
5e-05,14.4,7333.861303441056,0.0005
5.9999999999999995e-05,14.4,7333.861303441056,0.0006
5.9999999999999995e-05,14.6,7435.720488211071,0.0006
5.9999999999999995e-05,14.7,7486.650080596078,0.0006
5.9999999999999995e-05,14.8,7537.579672981086,0.0006
5.9999999999999995e-05,14.9,7588.509265366093,0.0006
5.9999999999999995e-05,15.0,7639.4388577511,0.0006
5.9999999999999995e-05,15.1,7690.368450136108,0.0006
5.9999999999999995e-05,15.2,7741.298042521114,0.0006
5.9999999999999995e-05,15.3,7792.227634906123,0.0006
5.9999999999999995e-05,15.4,7843.15722729113,0.0006
5.9999999999999995e-05,15.5,7894.086819676137,0.0006
5.9999999999999995e-05,15.6,7945.016412061144,0.0006
5.9999999999999995e-05,15.7,7995.946004446151,0.0006
5.9999999999999995e-05,15.8,8046.87559683116,0.0006
5.9999999999999995e-05,15.9,8097.805189216167,0.0006
5.9999999999999995e-05,16.0,8148.734781601173,0.0006
5.9999999999999995e-05,16.1,8199.664373986181,0.0006
5.9999999999999995e-05,16.2,8250.593966371189,0.0006
5.9999999999999995e-05,16.3,8301.523558756197,0.0006
5.9999999999999995e-05,16.4,8352.453151141202,0.0006
5.9999999999999995e-05,16.5,8403.38274352621,0.0006
5.9999999999999995e-05,16.6,8454.312335911218,0.0006
5.9999999999999995e-05,16.7,8505.241928296226,0.0006
5.9999999999999995e-05,16.9,8607.10111306624,0.0006
5.9999999999999995e-05,17.1,8708.960297836255,0.0006
5.9999999999999995e-05,17.2,8759.88989022126,0.0006
5.9999999999999995e-05,17.3,8810.81948260627,0.0006
7.000000000000001e-05,17.4,8861.749074991276,0.0007
7.000000000000001e-05,17.6,8963.608259761291,0.0007
7.000000000000001e-05,17.8,9065.467444531307,0.0007
7.000000000000001e-05,17.9,9116.397036916313,0.0007
7.000000000000001e-05,18.0,9167.32662930132,0.0007
7.000000000000001e-05,18.1,9218.256221686328,0.0007
7.000000000000001e-05,18.2,9269.185814071334,0.0007
7.000000000000001e-05,18.3,9320.115406456343,0.0007
7.000000000000001e-05,18.5,9421.974591226357,0.0007
7.000000000000001e-05,18.6,9472.904183611365,0.0007
7.000000000000001e-05,18.8,9574.76336838138,0.0007
7.000000000000001e-05,18.9,9625.692960766386,0.0007
7.000000000000001e-05,19.1,9727.552145536401,0.0007
7.000000000000001e-05,19.2,9778.481737921407,0.0007
7.000000000000001e-05,19.3,9829.411330306417,0.0007
7.000000000000001e-05,19.4,9880.340922691423,0.0007
7.000000000000001e-05,19.5,9931.27051507643,0.0007
7.000000000000001e-05,19.7,10033.129699846444,0.0007
7.000000000000001e-05,19.9,10134.98888461646,0.0007
7.000000000000001e-05,20.0,10185.918477001467,0.0007
7.000000000000001e-05,20.1,10236.848069386475,0.0007
7.000000000000001e-05,20.2,10287.77766177148,0.0007
7.000000000000001e-05,20.3,10338.70725415649,0.0007
7.000000000000001e-05,20.4,10389.636846541496,0.0007
7.000000000000001e-05,20.6,10491.496031311512,0.0007
7.000000000000001e-05,20.7,10542.425623696518,0.0007
8e-05,20.9,10644.284808466533,0.0008
8e-05,21.0,10695.21440085154,0.0008
8e-05,21.1,10746.143993236548,0.0008
8e-05,21.2,10797.073585621554,0.0008
8e-05,21.3,10848.003178006562,0.0008
8e-05,21.4,10898.93277039157,0.0008
8e-05,21.6,11000.791955161585,0.0008
8e-05,21.7,11051.721547546591,0.0008
8e-05,21.8,11102.651139931599,0.0008
8e-05,22.0,11204.510324701614,0.0008
8e-05,22.2,11306.369509471628,0.0008
8e-05,22.4,11408.228694241643,0.0008
8e-05,22.5,11459.15828662665,0.0008
8e-05,22.7,11561.017471396664,0.0008
8e-05,22.9,11662.87665616668,0.0008
8e-05,23.0,11713.806248551688,0.0008
8e-05,23.1,11764.735840936695,0.0008
8e-05,23.2,11815.665433321701,0.0008
8e-05,23.4,11917.524618091717,0.0008
8e-05,23.5,11968.454210476724,0.0008
8e-05,23.6,12019.383802861732,0.0008
8e-05,23.8,12121.242987631746,0.0008
8e-05,23.9,12172.172580016753,0.0008
8.999999999999999e-05,24.1,12274.031764786769,0.0008999999999999999
8.999999999999999e-05,24.3,12375.890949556782,0.0008999999999999999
8.999999999999999e-05,24.4,12426.82054194179,0.0008999999999999999
8.999999999999999e-05,24.6,12528.679726711805,0.0008999999999999999
8.999999999999999e-05,24.7,12579.609319096811,0.0008999999999999999
8.999999999999999e-05,24.8,12630.538911481819,0.0008999999999999999
8.999999999999999e-05,25.0,12732.398096251834,0.0008999999999999999
8.999999999999999e-05,25.1,12783.327688636842,0.0008999999999999999
8.999999999999999e-05,25.3,12885.186873406856,0.0008999999999999999
8.999999999999999e-05,25.5,12987.046058176871,0.0008999999999999999
8.999999999999999e-05,25.6,13037.975650561879,0.0008999999999999999
8.999999999999999e-05,25.7,13088.905242946885,0.0008999999999999999
8.999999999999999e-05,25.8,13139.834835331892,0.0008999999999999999
8.999999999999999e-05,25.9,13190.764427716898,0.0008999999999999999
8.999999999999999e-05,26.0,13241.694020101908,0.0008999999999999999
8.999999999999999e-05,26.2,13343.553204871921,0.0008999999999999999
8.999999999999999e-05,26.4,13445.412389641935,0.0008999999999999999
8.999999999999999e-05,26.5,13496.341982026945,0.0008999999999999999
8.999999999999999e-05,26.6,13547.271574411952,0.0008999999999999999
8.999999999999999e-05,26.8,13649.130759181966,0.0008999999999999999
8.999999999999999e-05,26.9,13700.060351566972,0.0008999999999999999
8.999999999999999e-05,27.0,13750.989943951981,0.0008999999999999999
8.999999999999999e-05,27.2,13852.849128721995,0.0008999999999999999
8.999999999999999e-05,27.3,13903.778721107003,0.0008999999999999999
8.999999999999999e-05,27.4,13954.708313492009,0.0008999999999999999
8.999999999999999e-05,27.6,14056.567498262026,0.0008999999999999999
0.0001,27.6,14056.567498262026,0.001
0.0001,27.8,14158.42668303204,0.001
0.0001,28.1,14311.215460187062,0.001
0.0001,28.2,14362.145052572068,0.001
0.0001,28.3,14413.074644957076,0.001
0.0001,28.5,14514.93382972709,0.001
0.0001,28.6,14565.8634221121,0.001
0.0001,28.8,14667.722606882113,0.001
0.0001,28.9,14718.652199267119,0.001
0.0001,29.0,14769.581791652126,0.001
0.0001,29.2,14871.440976422142,0.001
0.0001,29.3,14922.37056880715,0.001
0.0001,29.4,14973.300161192155,0.001
0.0001,29.6,15075.159345962173,0.001
0.0001,29.7,15126.088938347179,0.001
0.0001,29.8,15177.018530732186,0.001
0.0001,30.0,15278.8777155022,0.001
0.0001,30.2,15380.736900272215,0.001
0.0001,30.3,15431.666492657223,0.001
0.0001,30.5,15533.525677427237,0.001
0.0001,30.7,15635.384862197252,0.001
0.0001,30.9,15737.244046967266,0.001
0.0001,31.0,15788.173639352273,0.001
0.00011,31.2,15890.032824122289,0.0011
0.00011,31.5,16042.82160127731,0.0011
0.00011,31.6,16093.75119366232,0.0011
0.00011,31.7,16144.680786047325,0.0011
0.00011,31.9,16246.539970817339,0.0011
0.00011,32.0,16297.469563202347,0.0011
0.00011,32.2,16399.328747972362,0.0011
0.00011,32.4,16501.187932742378,0.0011
0.00011,32.5,16552.117525127385,0.0011
0.00011,32.7,16653.9767098974,0.0011
0.00011,32.9,16755.835894667413,0.0011
0.00011,33.1,16857.695079437428,0.0011
0.00011,33.3,16959.55426420744,0.0011
0.00011,33.4,17010.48385659245,0.0011
0.00011,33.8,17214.20222613248,0.0011
0.00011,33.9,17265.131818517486,0.0011
0.00011,34.1,17366.9910032875,0.0011
0.00011,34.3,17468.850188057513,0.0011
0.00011,34.5,17570.709372827532,0.0011
0.00011,34.6,17621.63896521254,0.0011
0.00011,34.8,17723.49814998255,0.0011
0.00011,34.9,17774.42774236756,0.0011
0.00011,35.1,17876.286927137575,0.0011
0.00011,35.2,17927.216519522583,0.0011
0.00011,35.4,18029.075704292594,0.0011
0.00011999999999999999,35.5,18080.005296677606,0.0012
0.00011999999999999999,35.7,18181.86448144762,0.0012
0.00011999999999999999,35.8,18232.794073832625,0.0012
0.00011999999999999999,36.0,18334.65325860264,0.0012
0.00011999999999999999,36.2,18436.512443372656,0.0012
0.00011999999999999999,36.5,18589.30122052768,0.0012
0.00011999999999999999,36.7,18691.160405297695,0.0012
0.00011999999999999999,36.8,18742.0899976827,0.0012
0.00011999999999999999,36.9,18793.019590067706,0.0012
0.00011999999999999999,37.1,18894.87877483772,0.0012
0.00011999999999999999,37.2,18945.80836722273,0.0012
0.00011999999999999999,37.4,19047.66755199274,0.0012
0.00011999999999999999,37.5,19098.597144377753,0.0012
0.00011999999999999999,37.6,19149.52673676276,0.0012
0.00011999999999999999,37.7,19200.456329147768,0.0012
0.00011999999999999999,37.9,19302.31551391778,0.0012
0.00011999999999999999,38.1,19404.174698687795,0.0012
0.00011999999999999999,38.2,19455.104291072803,0.0012
0.00011999999999999999,38.3,19506.033883457807,0.0012
0.00011999999999999999,38.4,19556.963475842815,0.0012
0.00011999999999999999,38.5,19607.893068227822,0.0012
0.00011999999999999999,38.6,19658.822660612834,0.0012
0.00011999999999999999,38.7,19709.75225299784,0.0012
0.00011999999999999999,38.8,19760.681845382845,0.0012
0.00011999999999999999,38.9,19811.611437767853,0.0012
0.00011999999999999999,39.1,19913.47062253787,0.0012
0.00011999999999999999,39.2,19964.400214922876,0.0012
0.00013000000000000002,39.3,20015.32980730788,0.0013000000000000002
0.00013000000000000002,39.6,20168.118584462907,0.0013000000000000002
0.00013000000000000002,39.8,20269.97776923292,0.0013000000000000002
0.00013000000000000002,39.9,20320.907361617927,0.0013000000000000002
0.00013000000000000002,40.0,20371.836954002934,0.0013000000000000002
0.00013000000000000002,40.2,20473.69613877295,0.0013000000000000002
0.00013000000000000002,40.3,20524.625731157954,0.0013000000000000002
0.00013000000000000002,40.4,20575.55532354296,0.0013000000000000002
0.00013000000000000002,40.6,20677.41450831298,0.0013000000000000002
0.00013000000000000002,40.7,20728.34410069799,0.0013000000000000002
0.00013000000000000002,40.9,20830.203285468,0.0013000000000000002
0.00013000000000000002,41.0,20881.132877853008,0.0013000000000000002
0.00013000000000000002,41.1,20932.062470238016,0.0013000000000000002
0.00013000000000000002,41.3,21033.921655008027,0.0013000000000000002
0.00013000000000000002,41.4,21084.851247393035,0.0013000000000000002
0.00013000000000000002,41.6,21186.710432163054,0.0013000000000000002
0.00013000000000000002,41.7,21237.64002454806,0.0013000000000000002
0.00013000000000000002,41.9,21339.499209318074,0.0013000000000000002
0.00013000000000000002,42.0,21390.42880170308,0.0013000000000000002
0.00013000000000000002,42.1,21441.35839408809,0.0013000000000000002
0.00013000000000000002,42.3,21543.2175788581,0.0013000000000000002
0.00013000000000000002,42.4,21594.14717124311,0.0013000000000000002
0.00013000000000000002,42.5,21645.076763628116,0.0013000000000000002
0.00013000000000000002,42.6,21696.006356013124,0.0013000000000000002
0.00013000000000000002,42.7,21746.935948398135,0.0013000000000000002
0.00013000000000000002,42.9,21848.795133168147,0.0013000000000000002
0.00013000000000000002,43.0,21899.724725553155,0.0013000000000000002
0.00013000000000000002,43.1,21950.654317938162,0.0013000000000000002
0.00013000000000000002,43.3,22052.513502708174,0.0013000000000000002
0.00013000000000000002,43.4,22103.443095093182,0.0013000000000000002
0.00013000000000000002,43.5,22154.37268747819,0.0013000000000000002
0.00014000000000000001,43.7,22256.23187224821,0.0014
0.00014000000000000001,43.8,22307.161464633213,0.0014
0.00014000000000000001,43.9,22358.09105701822,0.0014
0.00014000000000000001,44.0,22409.020649403228,0.0014
0.00014000000000000001,44.1,22459.950241788236,0.0014
0.00014000000000000001,44.2,22510.879834173244,0.0014
0.00014000000000000001,44.4,22612.739018943255,0.0014
0.00014000000000000001,44.5,22663.668611328263,0.0014
0.00014000000000000001,44.7,22765.527796098282,0.0014
0.00014000000000000001,44.8,22816.457388483286,0.0014
0.00014000000000000001,44.9,22867.386980868294,0.0014
0.00014000000000000001,45.0,22918.3165732533,0.0014
0.00014000000000000001,45.2,23020.175758023317,0.0014
0.00014000000000000001,45.3,23071.10535040832,0.0014
0.00014000000000000001,45.5,23172.964535178337,0.0014
0.00014000000000000001,45.6,23223.894127563344,0.0014
0.00014000000000000001,45.8,23325.75331233336,0.0014
0.00014000000000000001,46.0,23427.612497103375,0.0014
0.00014000000000000001,46.2,23529.47168187339,0.0014
0.00014000000000000001,46.4,23631.330866643402,0.0014
0.00014000000000000001,46.5,23682.26045902841,0.0014
0.00015,46.7,23784.119643798425,0.0014999999999999998
0.00015,46.9,23885.97882856844,0.0014999999999999998
0.00015,47.1,23987.838013338456,0.0014999999999999998
0.00015,47.2,24038.767605723464,0.0014999999999999998
0.00015,47.4,24140.626790493476,0.0014999999999999998
0.00015,47.6,24242.48597526349,0.0014999999999999998
0.00015,47.8,24344.345160033507,0.0014999999999999998
0.00015,47.9,24395.274752418514,0.0014999999999999998
0.00015,48.1,24497.13393718853,0.0014999999999999998
0.00015,48.2,24548.063529573537,0.0014999999999999998
0.00015,48.3,24598.99312195854,0.0014999999999999998
0.00015,48.4,24649.92271434355,0.0014999999999999998
0.00015,48.6,24751.781899113565,0.0014999999999999998
0.00015,48.8,24853.64108388358,0.0014999999999999998
0.00015,48.9,24904.570676268588,0.0014999999999999998
0.00015,49.0,24955.500268653595,0.0014999999999999998
0.00015,49.1,25006.429861038603,0.0014999999999999998
0.00015,49.3,25108.289045808615,0.0014999999999999998
0.00015,49.5,25210.14823057863,0.0014999999999999998
0.00015,49.6,25261.077822963638,0.0014999999999999998
0.00015,49.7,25312.007415348646,0.0014999999999999998
0.00015,49.9,25413.86660011866,0.0014999999999999998
0.00015,50.0,25464.79619250367,0.0014999999999999998
0.00015,50.1,25515.725784888677,0.0014999999999999998
0.00015,50.4,25668.514562043696,0.0014999999999999998
0.00015,50.6,25770.37374681371,0.0014999999999999998
0.00015,50.7,25821.30333919872,0.0014999999999999998
0.00015,50.9,25923.162523968735,0.0014999999999999998
0.00015,51.0,25974.092116353742,0.0014999999999999998
0.00015,51.2,26075.951301123758,0.0014999999999999998
0.00015,51.4,26177.81048589377,0.0014999999999999998
0.00015,51.6,26279.669670663785,0.0014999999999999998
0.00016,51.7,26330.599263048793,0.0016
0.00016,51.8,26381.528855433797,0.0016
0.00016,52.0,26483.388040203816,0.0016
0.00016,52.1,26534.317632588823,0.0016
0.00016,52.3,26636.176817358835,0.0016
0.00016,52.4,26687.106409743843,0.0016
0.00016,52.6,26788.96559451386,0.0016
0.00016,52.7,26839.895186898866,0.0016
0.00016,53.0,26992.68396405389,0.0016
0.00016,53.2,27094.543148823905,0.0016
0.00016,53.4,27196.402333593916,0.0016
0.00016,53.5,27247.331925978924,0.0016
0.00016,53.6,27298.261518363932,0.0016
0.00016,53.8,27400.120703133944,0.0016
0.00016,54.0,27501.979887903963,0.0016
0.00016,54.1,27552.90948028897,0.0016
0.00016,54.3,27654.768665058982,0.0016
0.00016,54.5,27756.627849828998,0.0016
0.00016,54.6,27807.557442214005,0.0016
0.00016,54.8,27909.416626984017,0.0016
0.00016,54.9,27960.346219369025,0.0016
0.00016,55.0,28011.275811754036,0.0016
0.00016,55.2,28113.13499652405,0.0016
0.00016,55.3,28164.064588909056,0.0016
0.00016,55.5,28265.92377367907,0.0016
0.00017,55.6,28316.85336606408,0.0017000000000000001
0.00017,55.9,28469.6421432191,0.0017000000000000001
0.00017,56.1,28571.501327989117,0.0017000000000000001
0.00017,56.2,28622.430920374125,0.0017000000000000001
