Time,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96
6/13/22 0:50,1296.51,33.47,129.72,126.61,16.25,14.07,56.81,175.62,6.24,40.09,4.55,16.96,252.37,268.50,17.75,347.50,348.21,338.79,347.23,99.25,0.47,0.47,69.09,220.24,121.55,86.96,25.08,102.63,113.21,1941.86,98.23,99.00,84.27,2.86,6.81,90.50,35.89,48.91,102.96,163.66,157.15,4.55,128.48,91.16,59.00,7.87,7.88,24.12,31.39,32.64,110.29,68.75,109.34,130.66,132.18,58.78,127.70,116.58,162.94,580.50,169.31,1998.80,246.02,246.02,225.41,748.99,6.19,69.24,-0.32,33.73,66.26,185.84,212.24,314.11,259.14,215.06,270.88,198.08,308.74,237.18,845.04,327.74,57.94,349.03,49.27,770.36,338.07,94.91,215.01,37.38,337.63,0.94,11.00,58.39,335.37,536.17
6/13/22 0:55,1295.69,33.47,129.68,126.61,16.26,14.08,57.04,175.78,6.23,39.91,4.55,16.89,252.59,268.57,17.64,347.16,348.03,338.61,346.94,99.31,0.48,0.48,71.01,225.40,122.41,87.02,25.04,102.52,113.29,1939.92,98.24,99.00,84.38,2.87,6.81,89.97,36.00,49.19,102.91,163.77,157.05,4.52,128.55,90.67,58.75,7.96,7.97,24.12,31.13,32.77,110.43,68.56,107.81,130.70,131.93,62.77,128.55,116.95,164.13,585.65,169.19,1990.07,252.25,252.25,225.40,744.78,6.20,69.41,-0.31,33.84,66.37,186.12,212.44,314.14,259.18,216.60,270.78,198.19,308.70,237.02,841.77,327.79,57.86,348.72,48.99,769.12,337.97,94.98,215.04,37.25,337.69,0.95,10.99,58.35,335.29,536.78
6/13/22 1:00,1295.80,33.47,129.80,126.66,16.29,14.10,57.62,175.90,6.24,39.77,4.55,16.93,252.46,268.43,17.55,347.21,348.22,338.80,346.95,98.78,0.48,0.48,71.37,226.55,121.54,86.51,24.88,102.29,113.22,1939.46,98.08,99.00,83.98,2.87,6.81,89.74,36.09,49.16,102.52,163.36,156.78,4.57,131.47,92.69,59.92,8.03,8.03,24.12,30.18,33.27,110.27,69.03,105.39,130.60,131.63,70.87,128.66,117.04,164.02,586.17,169.01,2024.66,233.11,233.11,225.49,747.01,6.20,69.62,-0.31,34.18,66.33,186.31,212.54,314.05,259.19,215.62,270.67,198.44,308.61,237.87,847.44,327.65,57.88,348.88,48.91,768.98,338.04,95.05,215.01,37.17,337.72,0.95,10.99,58.40,335.17,536.71
6/13/22 1:05,1297.80,33.47,129.89,126.69,16.25,14.07,57.38,175.85,6.24,39.35,4.55,16.87,252.45,268.35,18.43,347.34,347.99,338.57,347.08,98.84,0.48,0.48,67.18,225.29,123.33,86.28,24.76,102.26,112.95,1940.92,97.99,99.00,83.79,2.86,6.81,90.53,36.08,49.38,102.16,162.89,156.50,4.73,135.51,92.69,59.42,7.91,7.92,24.12,29.83,32.96,110.23,69.07,107.82,130.59,132.01,64.33,126.82,117.11,163.17,581.66,169.25,2017.89,241.70,241.70,225.54,745.34,6.18,69.58,-0.31,34.30,66.45,186.58,212.85,314.10,259.18,215.91,270.90,198.81,308.70,237.06,850.90,327.78,57.89,348.83,49.87,772.10,338.09,94.96,214.95,37.30,337.63,0.95,11.00,58.41,335.28,536.38
6/13/22 1:10,1296.76,33.47,129.90,126.80,16.28,14.09,56.42,175.94,6.24,39.03,4.55,17.00,252.59,268.30,19.11,347.28,348.16,338.69,347.06,98.91,0.47,0.47,64.06,220.59,123.31,86.33,24.83,102.65,113.22,1941.46,98.22,99.00,83.92,2.87,6.81,90.90,35.92,49.38,102.42,163.40,156.76,4.76,136.42,90.78,58.87,7.89,7.90,24.01,30.02,32.65,110.34,68.64,109.40,130.73,132.34,58.77,127.01,116.80,163.28,589.57,169.36,2040.42,248.90,248.90,225.73,753.22,6.19,69.62,-0.31,34.33,66.51,186.60,212.72,314.20,259.25,214.81,271.13,198.84,308.82,237.54,848.71,327.85,57.84,348.61,49.49,774.05,338.07,95.11,214.75,37.40,337.69,0.95,11.00,58.49,335.17,536.58
6/13/22 1:15,1296.60,33.47,129.92,126.84,16.28,14.09,56.09,176.06,6.24,38.82,4.55,16.99,252.54,268.41,18.82,347.55,348.36,338.90,347.33,98.81,0.48,0.48,69.02,220.07,123.42,86.27,24.88,102.93,113.13,1942.00,98.22,99.00,84.08,2.86,6.81,91.41,35.87,49.39,102.70,163.71,157.07,4.68,135.85,91.28,59.01,8.01,8.02,24.12,29.45,32.99,110.44,68.68,106.56,130.73,131.96,67.26,127.91,117.17,162.89,580.09,169.13,2023.59,255.15,255.15,225.64,747.04,6.18,69.62,-0.31,34.07,66.59,186.82,212.96,314.30,259.43,216.39,271.13,199.02,308.89,237.42,844.95,328.00,57.89,349.34,49.80,772.04,338.04,95.09,214.52,37.30,337.70,0.95,11.00,58.44,335.23,538.36
6/13/22 1:20,1296.53,33.47,130.02,126.80,16.27,14.08,57.15,176.23,6.24,38.59,4.55,17.05,252.50,268.51,18.81,347.50,348.35,338.89,347.28,98.85,0.48,0.48,70.74,220.25,123.34,86.25,25.23,102.92,113.09,1940.93,98.28,99.00,84.64,2.86,6.81,92.72,35.87,49.39,103.14,164.27,157.48,4.67,131.49,92.91,59.53,8.00,8.00,24.12,28.53,33.25,110.21,69.10,105.65,130.58,131.78,71.48,126.93,117.23,163.43,589.51,169.10,2021.23,240.88,240.88,225.76,746.48,6.19,69.59,-0.31,34.08,66.60,186.90,213.07,314.40,259.54,215.52,271.18,199.14,308.95,237.25,843.19,328.04,57.87,349.05,49.25,771.72,338.03,95.02,214.54,37.09,337.70,0.95,10.99,58.21,335.33,539.24
6/13/22 1:25,1295.31,33.48,130.14,126.90,16.28,14.08,57.48,176.16,6.24,38.25,4.55,16.96,252.63,268.61,18.71,347.21,348.21,338.77,347.03,98.79,0.48,0.48,64.74,221.56,123.13,86.23,25.47,102.64,113.16,1941.65,98.21,99.00,84.70,2.86,6.81,93.66,35.97,49.38,103.49,164.46,157.72,4.66,125.27,92.01,59.15,7.89,7.89,24.12,28.84,32.80,110.24,68.88,108.77,130.65,132.13,63.00,128.17,117.37,164.01,583.24,169.20,2037.06,241.74,241.74,225.80,748.96,6.18,69.66,-0.31,33.86,66.63,187.00,213.19,314.39,259.45,213.99,271.18,199.26,308.93,237.46,839.64,328.18,57.82,348.48,49.54,771.70,338.06,95.03,214.49,36.80,337.59,0.95,11.00,58.01,335.31,538.54
6/13/22 1:30,1296.68,33.47,130.14,127.01,16.29,14.09,57.12,176.20,6.24,38.03,4.55,17.08,252.63,268.55,18.81,347.21,348.10,338.64,346.98,99.24,0.48,0.48,63.48,222.02,126.42,86.64,25.40,102.23,113.30,1942.24,98.20,99.00,84.56,2.87,7.25,94.35,36.13,49.40,103.15,164.13,157.81,4.67,123.66,90.70,58.75,7.92,7.93,24.12,29.39,32.68,110.42,68.49,108.75,130.69,132.12,62.97,128.32,117.09,163.79,583.45,169.17,2024.00,252.68,252.65,225.77,750.84,6.18,69.49,-0.31,33.69,66.74,186.91,212.94,314.28,259.57,213.95,271.13,199.11,308.94,238.16,842.73,327.96,57.92,348.54,49.55,771.25,338.13,94.88,214.57,36.97,337.50,0.95,11.01,57.87,335.32,536.72
6/13/22 1:35,1296.92,33.47,130.19,127.03,16.28,14.09,56.66,176.24,6.24,37.71,4.55,17.01,252.56,268.59,18.88,347.42,348.28,338.78,347.20,99.09,0.48,0.48,71.07,222.87,126.57,86.62,24.97,101.94,113.24,1940.02,98.23,99.00,84.54,2.86,6.81,93.94,36.20,49.41,102.60,163.76,156.99,4.67,129.12,92.38,59.22,8.02,8.03,24.12,28.98,33.05,110.37,68.77,105.87,130.64,131.75,72.65,127.26,117.40,163.38,589.17,169.49,2029.75,241.12,241.13,225.68,749.81,6.19,69.48,-0.31,33.61,66.69,186.99,212.70,314.24,259.51,213.37,270.96,199.10,308.80,238.81,842.71,327.91,57.89,349.21,49.27,771.55,338.28,95.05,214.53,36.70,337.47,0.95,11.01,57.77,335.32,535.64
6/13/22 1:40,1297.92,33.45,130.24,126.99,16.22,14.05,56.52,176.19,6.24,37.37,4.55,17.11,252.45,268.66,18.88,347.48,348.38,338.86,347.19,98.01,0.48,0.48,72.77,226.54,125.49,85.64,24.87,102.17,112.91,1940.71,98.03,99.00,84.43,2.87,6.81,94.25,36.25,49.50,102.44,163.76,156.86,4.67,131.96,93.48,59.59,7.97,7.97,24.12,28.79,32.99,110.31,69.04,106.72,130.60,131.98,71.85,128.01,117.33,162.88,579.51,169.29,2045.05,230.84,230.84,225.78,748.90,6.18,69.50,-0.31,33.65,66.69,186.96,212.76,314.30,259.49,213.41,271.11,199.16,308.84,238.86,843.64,328.05,57.85,348.96,49.15,770.39,338.23,95.09,214.66,36.65,337.48,0.95,11.01,57.67,335.33,535.47
6/13/22 1:45,1294.92,33.44,130.23,127.15,16.25,14.06,56.76,176.24,6.24,36.98,4.55,17.20,252.34,268.66,18.85,347.36,348.41,338.90,347.10,97.99,0.48,0.48,65.27,227.79,124.53,85.48,24.70,102.08,112.63,1941.29,97.91,99.00,84.01,2.86,6.97,93.60,36.24,49.69,102.20,163.24,156.51,4.76,135.24,92.14,58.96,7.88,7.89,23.92,29.79,32.54,110.33,68.76,109.23,130.75,132.46,63.42,127.31,117.10,163.03,586.53,168.72,2017.61,268.51,268.51,225.85,741.39,6.17,69.47,-0.31,33.61,66.70,186.88,212.71,314.44,259.53,213.49,271.20,199.13,308.97,238.82,842.23,328.19,57.95,349.02,49.91,771.34,338.18,94.97,214.86,36.60,337.50,0.95,11.01,57.59,335.29,534.73
6/13/22 1:50,1294.12,33.43,130.16,127.29,16.31,14.12,56.72,176.62,6.24,36.60,4.55,17.27,252.34,268.65,18.84,347.41,348.34,338.77,347.09,98.53,0.48,0.48,60.30,227.15,122.61,85.92,24.84,102.22,112.78,1941.49,97.97,99.00,84.01,2.87,7.24,92.86,36.19,49.65,102.24,163.40,156.69,4.92,136.04,91.35,58.94,7.94,7.95,23.85,30.37,32.62,110.47,68.50,108.17,130.87,132.26,64.79,127.57,117.26,163.07,587.01,168.58,2029.33,264.45,264.45,225.75,747.45,6.18,69.55,-0.31,33.76,66.39,186.86,212.60,314.25,259.57,216.91,270.90,198.98,308.87,239.17,840.04,328.05,57.93,349.01,49.06,770.18,338.20,94.72,214.94,36.73,337.39,0.96,11.00,57.62,335.27,535.35
6/13/22 1:55,1293.67,33.43,130.21,127.17,16.30,14.11,56.28,176.71,6.25,36.23,4.55,17.22,252.25,268.62,18.82,347.04,348.03,338.50,346.64,99.17,0.48,0.48,59.38,225.19,124.38,86.55,24.88,102.34,113.11,1941.07,98.07,99.00,84.51,2.86,6.81,93.17,36.20,49.64,102.51,163.54,156.76,4.93,136.05,92.45,59.46,8.02,8.03,23.96,30.00,32.99,110.38,68.82,105.87,130.85,131.98,71.11,128.68,117.66,163.89,579.95,168.88,2032.54,229.99,229.99,225.81,744.55,6.18,69.51,-0.31,33.80,66.41,186.85,212.37,314.15,259.44,217.42,270.77,199.00,308.77,240.18,841.88,327.86,57.93,348.56,48.39,773.66,338.24,95.04,215.01,36.92,337.21,0.95,11.00,57.71,335.23,535.52
6/13/22 2:00,1294.82,33.43,130.29,127.07,16.28,14.10,57.01,176.24,6.24,35.86,4.54,17.12,252.29,268.61,18.79,347.08,348.03,338.51,346.73,99.14,0.47,0.47,64.50,224.84,125.24,86.67,25.00,102.45,113.25,1940.21,98.11,99.00,84.42,2.87,6.97,94.61,36.07,49.65,102.90,163.73,157.13,4.94,135.23,92.80,59.53,7.95,7.95,24.10,30.01,32.88,110.23,69.03,106.99,130.78,132.04,68.89,127.91,117.35,163.66,590.19,169.44,2029.04,226.70,226.70,225.75,744.37,6.18,69.35,-0.31,33.87,66.56,186.71,212.12,314.00,259.36,214.74,270.72,198.95,308.62,239.81,844.20,327.55,57.87,348.60,48.62,768.04,338.21,95.04,215.10,37.17,337.19,0.95,11.00,57.88,335.20,534.52
6/13/22 2:05,1296.17,33.44,130.16,127.08,16.29,14.10,56.57,176.06,6.25,35.63,4.55,17.15,252.15,268.64,18.79,347.39,348.27,338.69,347.01,99.04,0.48,0.48,65.54,225.29,125.29,86.74,25.12,102.45,113.15,1941.14,98.10,99.00,84.76,2.85,6.81,95.17,36.13,49.68,103.35,163.95,157.20,4.91,131.82,91.47,58.92,7.88,7.89,24.12,30.99,32.57,110.33,68.63,108.92,130.77,132.25,62.97,127.97,116.85,163.16,582.04,168.99,2006.64,259.19,259.23,225.52,746.91,6.18,69.27,-0.31,33.87,66.51,186.57,212.37,314.00,259.26,212.23,270.66,198.73,308.55,239.20,845.18,327.59,57.92,349.24,48.72,771.30,338.14,94.59,215.16,37.57,337.33,0.95,11.00,57.99,335.22,534.18
6/13/22 2:10,1296.11,33.43,130.08,127.15,16.27,14.09,56.34,176.29,6.24,35.28,4.55,17.12,252.24,268.63,18.79,347.27,348.21,338.68,346.97,99.25,0.48,0.48,65.67,224.75,124.13,86.95,25.26,102.35,113.17,1939.47,98.16,99.00,84.79,2.87,6.97,94.90,36.32,49.90,103.35,163.92,157.46,4.85,127.83,91.33,58.94,7.95,7.97,24.09,31.31,32.64,110.40,68.50,107.56,130.71,132.05,66.91,128.03,117.12,163.08,584.67,168.83,2002.57,247.52,247.52,225.38,751.02,6.17,69.47,-0.31,33.72,66.27,186.70,212.37,313.99,259.13,213.58,270.50,198.89,308.50,239.72,850.24,327.68,57.90,348.53,48.71,770.78,338.02,95.08,215.22,37.52,337.40,0.94,11.01,58.07,335.11,534.32
6/13/22 2:15,1294.42,33.44,130.13,127.12,16.28,14.09,56.20,176.38,6.24,34.95,4.55,17.05,252.22,268.68,18.77,347.23,348.17,338.66,346.92,99.31,0.48,0.48,65.22,225.22,123.35,86.94,25.20,102.11,113.28,1942.02,98.13,99.00,84.80,2.86,6.81,94.57,36.41,49.89,103.10,163.51,157.29,4.87,127.63,92.95,59.49,8.01,8.02,23.99,30.71,33.05,110.29,68.91,105.87,130.69,131.85,72.95,127.90,117.32,163.48,590.41,169.21,2019.27,223.53,223.53,225.56,747.85,6.17,69.58,-0.31,33.58,66.25,186.88,212.47,313.93,259.04,215.00,270.53,199.07,308.46,240.05,848.97,327.64,57.94,348.64,49.09,770.38,337.97,94.94,215.32,37.74,337.47,0.95,11.01,58.18,335.13,536.00
